Spain,Spain LIGA BBVA,Rayo Vallecano,2013/2014,28,36
Spain,Spain LIGA BBVA,Rayo Vallecano,2015/2016,29,29
Spain,Spain LIGA BBVA,RC Celta de Vigo,2014/2015,30,22
Spain,Spain LIGA BBVA,RC Celta de Vigo,2013/2014,23,23
Spain,Spain LIGA BBVA,RC Celta de Vigo,2012/2013,23,21
Spain,Spain LIGA BBVA,RC Celta de Vigo,2015/2016,29,25
Spain,Spain LIGA BBVA,RC Deportivo de La Coruña,2010/2011,22,19
Spain,Spain LIGA BBVA,RC Deportivo de La Coruña,2008/2009,30,18
Spain,Spain LIGA BBVA,RC Deportivo de La Coruña,2009/2010,22,21
Spain,Spain LIGA BBVA,RC Deportivo de La Coruña,2012/2013,23,26
Spain,Spain LIGA BBVA,RC Deportivo de La Coruña,2014/2015,22,30
Spain,Spain LIGA BBVA,RC Deportivo de La Coruña,2015/2016,25,34
France,France Ligue 1,RC Lens,2009/2010,27,17
France,France Ligue 1,RC Lens,2010/2011,20,26
France,France Ligue 1,RC Lens,2014/2015,14,24
Spain,Spain LIGA BBVA,RC Recreativo,2008/2009,17,29
Spain,Spain LIGA BBVA,RCD Espanyol,2009/2010,20,17
Spain,Spain LIGA BBVA,RCD Espanyol,2013/2014,23,22
Spain,Spain LIGA BBVA,RCD Espanyol,2015/2016,22,28
Spain,Spain LIGA BBVA,RCD Espanyol,2010/2011,33,22
Spain,Spain LIGA BBVA,RCD Espanyol,2012/2013,25,28
Spain,Spain LIGA BBVA,RCD Espanyol,2008/2009,28,22
Spain,Spain LIGA BBVA,RCD Espanyol,2014/2015,23,19
Spain,Spain LIGA BBVA,RCD Espanyol,2011/2012,31,24
Spain,Spain LIGA BBVA,RCD Mallorca,2011/2012,21,15
Spain,Spain LIGA BBVA,RCD Mallorca,2009/2010,42,15
Spain,Spain LIGA BBVA,RCD Mallorca,2012/2013,26,30
Spain,Spain LIGA BBVA,RCD Mallorca,2008/2009,33,24
Spain,Spain LIGA BBVA,RCD Mallorca,2010/2011,25,19
England,England Premier League,Reading,2012/2013,23,33
Spain,Spain LIGA BBVA,Real Betis Balompié,2011/2012,28,25
Spain,Spain LIGA BBVA,Real Betis Balompié,2012/2013,28,18
Spain,Spain LIGA BBVA,Real Betis Balompié,2013/2014,19,31
Spain,Spain LIGA BBVA,Real Betis Balompié,2015/2016,17,23
Spain,Spain LIGA BBVA,Real Betis Balompié,2008/2009,24,25
Spain,Spain LIGA BBVA,Real Madrid CF,2014/2015,65,15
Spain,Spain LIGA BBVA,Real Madrid CF,2011/2012,70,19
Spain,Spain LIGA BBVA,Real Madrid CF,2009/2010,60,18
Spain,Spain LIGA BBVA,Real Madrid CF,2008/2009,49,29
Spain,Spain LIGA BBVA,Real Madrid CF,2010/2011,61,12
Spain,Spain LIGA BBVA,Real Madrid CF,2013/2014,63,17
Spain,Spain LIGA BBVA,Real Madrid CF,2015/2016,70,16
Spain,Spain LIGA BBVA,Real Madrid CF,2012/2013,67,21
Spain,Spain LIGA BBVA,Real Sociedad,2013/2014,38,19
Spain,Spain LIGA BBVA,Real Sociedad,2014/2015,29,21
Spain,Spain LIGA BBVA,Real Sociedad,2010/2011,27,21
Spain,Spain LIGA BBVA,Real Sociedad,2011/2012,29,17
Spain,Spain LIGA BBVA,Real Sociedad,2012/2013,41,22
Spain,Spain LIGA BBVA,Real Sociedad,2015/2016,22,20
Spain,Spain LIGA BBVA,Real Sporting de Gijón,2008/2009,24,37
Spain,Spain LIGA BBVA,Real Sporting de Gijón,2011/2012,24,26
Spain,Spain LIGA BBVA,Real Sporting de Gijón,2015/2016,28,28
Spain,Spain LIGA BBVA,Real Sporting de Gijón,2010/2011,23,16
Spain,Spain LIGA BBVA,Real Sporting de Gijón,2009/2010,20,18
Spain,Spain LIGA BBVA,Real Valladolid,2012/2013,29,26
Spain,Spain LIGA BBVA,Real Valladolid,2013/2014,20,17
Spain,Spain LIGA BBVA,Real Valladolid,2008/2009,22,17
Spain,Spain LIGA BBVA,Real Valladolid,2009/2010,23,32
Spain,Spain LIGA BBVA,Real Zaragoza,2009/2010,27,23
Spain,Spain LIGA BBVA,Real Zaragoza,2010/2011,26,27
Spain,Spain LIGA BBVA,Real Zaragoza,2012/2013,23,27
Spain,Spain LIGA BBVA,Real Zaragoza,2011/2012,19,24
Italy,Italy Serie A,Reggio Calabria,2008/2009,23,27
Portugal,Portugal Liga ZON Sagres,Rio Ave FC,2012/2013,14,17
Portugal,Portugal Liga ZON Sagres,Rio Ave FC,2015/2016,20,18
Portugal,Portugal Liga ZON Sagres,Rio Ave FC,2010/2011,17,13
Portugal,Portugal Liga ZON Sagres,Rio Ave FC,2014/2015,21,15
Portugal,Portugal Liga ZON Sagres,Rio Ave FC,2013/2014,10,20
Portugal,Portugal Liga ZON Sagres,Rio Ave FC,2011/2012,23,18
Portugal,Portugal Liga ZON Sagres,Rio Ave FC,2008/2009,16,17
Portugal,Portugal Liga ZON Sagres,Rio Ave FC,2009/2010,10,14
Netherlands,Netherlands Eredivisie,RKC Waalwijk,2011/2012,24,19
Netherlands,Netherlands Eredivisie,RKC Waalwijk,2012/2013,24,19
Netherlands,Netherlands Eredivisie,RKC Waalwijk,2013/2014,26,30
Netherlands,Netherlands Eredivisie,RKC Waalwijk,2009/2010,18,30
Netherlands,Netherlands Eredivisie,Roda JC Kerkrade,2015/2016,15,25
Netherlands,Netherlands Eredivisie,Roda JC Kerkrade,2012/2013,29,18
Netherlands,Netherlands Eredivisie,Roda JC Kerkrade,2011/2012,34,25
Netherlands,Netherlands Eredivisie,Roda JC Kerkrade,2009/2010,37,28
Netherlands,Netherlands Eredivisie,Roda JC Kerkrade,2010/2011,34,16
Netherlands,Netherlands Eredivisie,Roda JC Kerkrade,2008/2009,22,25
Netherlands,Netherlands Eredivisie,Roda JC Kerkrade,2013/2014,21,30
Italy,Italy Serie A,Roma,2014/2015,31,14
Italy,Italy Serie A,Roma,2009/2010,36,17
Italy,Italy Serie A,Roma,2015/2016,44,17
Italy,Italy Serie A,Roma,2012/2013,40,24
Italy,Italy Serie A,Roma,2013/2014,44,9
Italy,Italy Serie A,Roma,2010/2011,31,18
Italy,Italy Serie A,Roma,2011/2012,38,20
Italy,Italy Serie A,Roma,2008/2009,35,23
Scotland,Scotland Premier League,Ross County FC,2012/2013,22,15
Scotland,Scotland Premier League,Ross County FC,2013/2014,25,29
Scotland,Scotland Premier League,Ross County FC,2015/2016,29,33
Scotland,Scotland Premier League,Ross County FC,2014/2015,21,31
Belgium,Belgium Jupiler League,Royal Excel Mouscron,2014/2015,23,24
Belgium,Belgium Jupiler League,Royal Excel Mouscron,2015/2016,18,22
Belgium,Belgium Jupiler League,Royal Excel Mouscron,2008/2009,28,20
Belgium,Belgium Jupiler League,RSC Anderlecht,2015/2016,29,13
Belgium,Belgium Jupiler League,RSC Anderlecht,2014/2015,25,11
Belgium,Belgium Jupiler League,RSC Anderlecht,2010/2011,39,7
Belgium,Belgium Jupiler League,RSC Anderlecht,2009/2010,27,10
Belgium,Belgium Jupiler League,RSC Anderlecht,2012/2013,35,10
Belgium,Belgium Jupiler League,RSC Anderlecht,2008/2009,48,15
Belgium,Belgium Jupiler League,RSC Anderlecht,2011/2012,44,13
Poland,Poland Ekstraklasa,Ruch Chorzów,2009/2010,22,12
Poland,Poland Ekstraklasa,Ruch Chorzów,2015/2016,20,26
Poland,Poland Ekstraklasa,Ruch Chorzów,2014/2015,20,14
Poland,Poland Ekstraklasa,Ruch Chorzów,2011/2012,24,12
Poland,Poland Ekstraklasa,Ruch Chorzów,2010/2011,14,12
Poland,Poland Ekstraklasa,Ruch Chorzów,2008/2009,13,11
Poland,Poland Ekstraklasa,Ruch Chorzów,2013/2014,18,15
Poland,Poland Ekstraklasa,Ruch Chorzów,2012/2013,17,21
Portugal,Portugal Liga ZON Sagres,S.C. Olhanense,2012/2013,13,20
Portugal,Portugal Liga ZON Sagres,S.C. Olhanense,2010/2011,16,17
Portugal,Portugal Liga ZON Sagres,S.C. Olhanense,2013/2014,13,17
Portugal,Portugal Liga ZON Sagres,S.C. Olhanense,2011/2012,16,20
Portugal,Portugal Liga ZON Sagres,S.C. Olhanense,2009/2010,12,18
Italy,Italy Serie A,Sampdoria,2012/2013,25,22
Italy,Italy Serie A,Sampdoria,2015/2016,29,25
Italy,Italy Serie A,Sampdoria,2014/2015,23,15
Italy,Italy Serie A,Sampdoria,2013/2014,28,29
Italy,Italy Serie A,Sampdoria,2010/2011,21,21
Italy,Italy Serie A,Sampdoria,2009/2010,31,10
Italy,Italy Serie A,Sampdoria,2008/2009,33,21
Italy,Italy Serie A,Sassuolo,2015/2016,25,20
Italy,Italy Serie A,Sassuolo,2014/2015,25,22
Italy,Italy Serie A,Sassuolo,2013/2014,23,39
France,France Ligue 1,SC Bastia,2014/2015,24,18
France,France Ligue 1,SC Bastia,2013/2014,24,18
France,France Ligue 1,SC Bastia,2012/2013,30,26
France,France Ligue 1,SC Bastia,2015/2016,23,14
Portugal,Portugal Liga ZON Sagres,SC Beira Mar,2012/2013,21,26
Portugal,Portugal Liga ZON Sagres,SC Beira Mar,2011/2012,13,19
Portugal,Portugal Liga ZON Sagres,SC Beira Mar,2010/2011,17,17
Portugal,Portugal Liga ZON Sagres,SC Braga,2014/2015,32,9
Portugal,Portugal Liga ZON Sagres,SC Braga,2010/2011,28,15
Portugal,Portugal Liga ZON Sagres,SC Braga,2012/2013,34,23
Portugal,Portugal Liga ZON Sagres,SC Braga,2011/2012,33,11
Portugal,Portugal Liga ZON Sagres,SC Braga,2013/2014,26,18
Portugal,Portugal Liga ZON Sagres,SC Braga,2009/2010,27,6
Portugal,Portugal Liga ZON Sagres,SC Braga,2008/2009,18,10
Portugal,Portugal Liga ZON Sagres,SC Braga,2015/2016,41,17
Netherlands,Netherlands Eredivisie,SC Cambuur,2014/2015,25,22
Netherlands,Netherlands Eredivisie,SC Cambuur,2013/2014,30,19
Netherlands,Netherlands Eredivisie,SC Cambuur,2015/2016,12,32
Germany,Germany 1. Bundesliga,SC Freiburg,2013/2014,25,30
Germany,Germany 1. Bundesliga,SC Freiburg,2011/2012,24,20
Germany,Germany 1. Bundesliga,SC Freiburg,2010/2011,24,24
Germany,Germany 1. Bundesliga,SC Freiburg,2014/2015,21,22
Germany,Germany 1. Bundesliga,SC Freiburg,2012/2013,25,18
Germany,Germany 1. Bundesliga,SC Freiburg,2009/2010,14,26
Netherlands,Netherlands Eredivisie,SC Heerenveen,2015/2016,24,29
Netherlands,Netherlands Eredivisie,SC Heerenveen,2010/2011,35,23
Netherlands,Netherlands Eredivisie,SC Heerenveen,2009/2010,25,19
Netherlands,Netherlands Eredivisie,SC Heerenveen,2012/2013,29,30
Netherlands,Netherlands Eredivisie,SC Heerenveen,2011/2012,37,31
Netherlands,Netherlands Eredivisie,SC Heerenveen,2014/2015,33,21
Netherlands,Netherlands Eredivisie,SC Heerenveen,2008/2009,41,22
Netherlands,Netherlands Eredivisie,SC Heerenveen,2013/2014,43,27
Germany,Germany 1. Bundesliga,SC Paderborn 07,2014/2015,21,31
Spain,Spain LIGA BBVA,SD Eibar,2015/2016,26,22
Spain,Spain LIGA BBVA,SD Eibar,2014/2015,20,29
Switzerland,Switzerland Super League,Servette FC,2012/2013,18,22
Switzerland,Switzerland Super League,Servette FC,2011/2012,23,27
Spain,Spain LIGA BBVA,Sevilla FC,2012/2013,41,21
Spain,Spain LIGA BBVA,Sevilla FC,2011/2012,32,25
Spain,Spain LIGA BBVA,Sevilla FC,2015/2016,38,21
Spain,Spain LIGA BBVA,Sevilla FC,2008/2009,28,20
Spain,Spain LIGA BBVA,Sevilla FC,2014/2015,38,13
Spain,Spain LIGA BBVA,Sevilla FC,2013/2014,40,21
Spain,Spain LIGA BBVA,Sevilla FC,2009/2010,33,18
Spain,Spain LIGA BBVA,Sevilla FC,2010/2011,35,27
Italy,Italy Serie A,Siena,2009/2010,17,25
Italy,Italy Serie A,Siena,2012/2013,16,19
Italy,Italy Serie A,Siena,2008/2009,18,18
Italy,Italy Serie A,Siena,2011/2012,24,19
Belgium,Belgium Jupiler League,Sint-Truidense VV,2011/2012,20,29
Belgium,Belgium Jupiler League,Sint-Truidense VV,2015/2016,17,23
Belgium,Belgium Jupiler League,Sint-Truidense VV,2009/2010,21,18
Belgium,Belgium Jupiler League,Sint-Truidense VV,2010/2011,12,20
Portugal,Portugal Liga ZON Sagres,SL Benfica,2008/2009,23,14
Portugal,Portugal Liga ZON Sagres,SL Benfica,2010/2011,36,14
Portugal,Portugal Liga ZON Sagres,SL Benfica,2015/2016,52,13
Portugal,Portugal Liga ZON Sagres,SL Benfica,2013/2014,30,6
Portugal,Portugal Liga ZON Sagres,SL Benfica,2009/2010,46,6
Portugal,Portugal Liga ZON Sagres,SL Benfica,2011/2012,44,15
Portugal,Portugal Liga ZON Sagres,SL Benfica,2014/2015,48,5
Portugal,Portugal Liga ZON Sagres,SL Benfica,2012/2013,42,9
Poland,Poland Ekstraklasa,Śląsk Wrocław,2009/2010,19,14
Poland,Poland Ekstraklasa,Śląsk Wrocław,2013/2014,21,16
Poland,Poland Ekstraklasa,Śląsk Wrocław,2012/2013,23,15
Poland,Poland Ekstraklasa,Śląsk Wrocław,2014/2015,21,9
Poland,Poland Ekstraklasa,Śląsk Wrocław,2010/2011,27,13
Poland,Poland Ekstraklasa,Śląsk Wrocław,2011/2012,26,14
Poland,Poland Ekstraklasa,Śląsk Wrocław,2008/2009,25,12
Poland,Poland Ekstraklasa,Śląsk Wrocław,2015/2016,14,14
France,France Ligue 1,SM Caen,2015/2016,19,23
France,France Ligue 1,SM Caen,2008/2009,22,17
France,France Ligue 1,SM Caen,2011/2012,20,25
France,France Ligue 1,SM Caen,2014/2015,26,25
France,France Ligue 1,SM Caen,2010/2011,22,25
England,England Premier League,Southampton,2013/2014,32,23
England,England Premier League,Southampton,2012/2013,26,24
England,England Premier League,Southampton,2015/2016,39,22
England,England Premier League,Southampton,2014/2015,37,13
Netherlands,Netherlands Eredivisie,Sparta Rotterdam,2009/2010,18,26
Netherlands,Netherlands Eredivisie,Sparta Rotterdam,2008/2009,26,19
Belgium,Belgium Jupiler League,Sporting Charleroi,2010/2011,10,20
Belgium,Belgium Jupiler League,Sporting Charleroi,2012/2013,17,21
Belgium,Belgium Jupiler League,Sporting Charleroi,2014/2015,23,12
Belgium,Belgium Jupiler League,Sporting Charleroi,2015/2016,20,16
Belgium,Belgium Jupiler League,Sporting Charleroi,2008/2009,26,19
Belgium,Belgium Jupiler League,Sporting Charleroi,2009/2010,17,23
Portugal,Portugal Liga ZON Sagres,Sporting CP,2014/2015,38,14
Portugal,Portugal Liga ZON Sagres,Sporting CP,2011/2012,32,9
Portugal,Portugal Liga ZON Sagres,Sporting CP,2009/2010,24,13
Portugal,Portugal Liga ZON Sagres,Sporting CP,2012/2013,16,14
Portugal,Portugal Liga ZON Sagres,Sporting CP,2008/2009,29,13
Portugal,Portugal Liga ZON Sagres,Sporting CP,2013/2014,28,7
Portugal,Portugal Liga ZON Sagres,Sporting CP,2015/2016,39,12
Portugal,Portugal Liga ZON Sagres,Sporting CP,2010/2011,18,16
Belgium,Belgium Jupiler League,Sporting Lokeren,2010/2011,25,17
Belgium,Belgium Jupiler League,Sporting Lokeren,2008/2009,22,13
Belgium,Belgium Jupiler League,Sporting Lokeren,2012/2013,24,20
Belgium,Belgium Jupiler League,Sporting Lokeren,2011/2012,21,15
Belgium,Belgium Jupiler League,Sporting Lokeren,2009/2010,14,21
Belgium,Belgium Jupiler League,Sporting Lokeren,2015/2016,16,19
Belgium,Belgium Jupiler League,Sporting Lokeren,2014/2015,27,18
Germany,Germany 1. Bundesliga,SpVgg Greuther Fürth,2012/2013,10,36
Scotland,Scotland Premier League,St. Johnstone FC,2015/2016,27,22
Scotland,Scotland Premier League,St. Johnstone FC,2014/2015,19,17
Scotland,Scotland Premier League,St. Johnstone FC,2011/2012,20,30
Scotland,Scotland Premier League,St. Johnstone FC,2009/2010,31,28
Scotland,Scotland Premier League,St. Johnstone FC,2013/2014,35,16
Scotland,Scotland Premier League,St. Johnstone FC,2012/2013,25,17
Scotland,Scotland Premier League,St. Johnstone FC,2010/2011,10,19
Scotland,Scotland Premier League,St. Mirren,2012/2013,25,31
Scotland,Scotland Premier League,St. Mirren,2014/2015,14,30
Scotland,Scotland Premier League,St. Mirren,2008/2009,14,21
Scotland,Scotland Premier League,St. Mirren,2009/2010,18,18
Scotland,Scotland Premier League,St. Mirren,2010/2011,20,27
Scotland,Scotland Premier League,St. Mirren,2011/2012,23,25
Scotland,Scotland Premier League,St. Mirren,2013/2014,23,20
France,France Ligue 1,Stade Brestois 29,2012/2013,17,26
France,France Ligue 1,Stade Brestois 29,2011/2012,22,17
France,France Ligue 1,Stade Brestois 29,2010/2011,21,17
France,France Ligue 1,Stade de Reims,2012/2013,20,13
France,France Ligue 1,Stade de Reims,2013/2014,26,26
France,France Ligue 1,Stade de Reims,2014/2015,24,29
France,France Ligue 1,Stade de Reims,2015/2016,28,23
France,France Ligue 1,Stade Rennais FC,2013/2014,24,23
France,France Ligue 1,Stade Rennais FC,2008/2009,28,14
France,France Ligue 1,Stade Rennais FC,2014/2015,22,22
France,France Ligue 1,Stade Rennais FC,2009/2010,31,18
France,France Ligue 1,Stade Rennais FC,2015/2016,25,25
France,France Ligue 1,Stade Rennais FC,2010/2011,22,13
France,France Ligue 1,Stade Rennais FC,2011/2012,30,19
France,France Ligue 1,Stade Rennais FC,2012/2013,23,27
Belgium,Belgium Jupiler League,Standard de Liège,2014/2015,26,19
Belgium,Belgium Jupiler League,Standard de Liège,2015/2016,22,16
Belgium,Belgium Jupiler League,Standard de Liège,2010/2011,33,15
Belgium,Belgium Jupiler League,Standard de Liège,2011/2012,28,9
Belgium,Belgium Jupiler League,Standard de Liège,2012/2013,28,15
Belgium,Belgium Jupiler League,Standard de Liège,2009/2010,20,16
Belgium,Belgium Jupiler League,Standard de Liège,2008/2009,42,12
England,England Premier League,Stoke City,2013/2014,27,17
England,England Premier League,Stoke City,2011/2012,25,20
England,England Premier League,Stoke City,2010/2011,31,18
England,England Premier League,Stoke City,2009/2010,24,21
England,England Premier League,Stoke City,2008/2009,22,15
England,England Premier League,Stoke City,2015/2016,22,24
England,England Premier League,Stoke City,2014/2015,32,22
England,England Premier League,Stoke City,2012/2013,21,22
England,England Premier League,Sunderland,2010/2011,25,27
England,England Premier League,Sunderland,2015/2016,23,20
England,England Premier League,Sunderland,2008/2009,21,25
England,England Premier League,Sunderland,2014/2015,16,27
England,England Premier League,Sunderland,2013/2014,21,27
England,England Premier League,Sunderland,2009/2010,32,19
England,England Premier League,Sunderland,2011/2012,26,17
England,England Premier League,Sunderland,2012/2013,20,19
Germany,Germany 1. Bundesliga,SV Darmstadt 98,2015/2016,15,29
Germany,Germany 1. Bundesliga,SV Werder Bremen,2013/2014,21,30
Germany,Germany 1. Bundesliga,SV Werder Bremen,2011/2012,31,23
Germany,Germany 1. Bundesliga,SV Werder Bremen,2012/2013,23,30
Germany,Germany 1. Bundesliga,SV Werder Bremen,2009/2010,34,21
Germany,Germany 1. Bundesliga,SV Werder Bremen,2015/2016,27,30
Germany,Germany 1. Bundesliga,SV Werder Bremen,2008/2009,43,22
Germany,Germany 1. Bundesliga,SV Werder Bremen,2010/2011,26,23
Germany,Germany 1. Bundesliga,SV Werder Bremen,2014/2015,25,24
Belgium,Belgium Jupiler League,SV Zulte-Waregem,2009/2010,23,13
Belgium,Belgium Jupiler League,SV Zulte-Waregem,2008/2009,31,15
Belgium,Belgium Jupiler League,SV Zulte-Waregem,2010/2011,23,19
Belgium,Belgium Jupiler League,SV Zulte-Waregem,2014/2015,19,28
Belgium,Belgium Jupiler League,SV Zulte-Waregem,2011/2012,23,19
Belgium,Belgium Jupiler League,SV Zulte-Waregem,2015/2016,30,22
Belgium,Belgium Jupiler League,SV Zulte-Waregem,2012/2013,27,19
England,England Premier League,Swansea City,2012/2013,28,26
England,England Premier League,Swansea City,2014/2015,27,22
England,England Premier League,Swansea City,2011/2012,27,18
England,England Premier League,Swansea City,2013/2014,33,26
England,England Premier League,Swansea City,2015/2016,20,20
Italy,Italy Serie A,Torino,2008/2009,21,25
Italy,Italy Serie A,Torino,2013/2014,31,20
Italy,Italy Serie A,Torino,2014/2015,25,14
Italy,Italy Serie A,Torino,2015/2016,25,25
Italy,Italy Serie A,Torino,2012/2013,23,26
England,England Premier League,Tottenham Hotspur,2012/2013,29,18
England,England Premier League,Tottenham Hotspur,2008/2009,21,10
England,England Premier League,Tottenham Hotspur,2009/2010,40,12
England,England Premier League,Tottenham Hotspur,2010/2011,30,19
England,England Premier League,Tottenham Hotspur,2014/2015,31,24
England,England Premier League,Tottenham Hotspur,2011/2012,39,17
England,England Premier League,Tottenham Hotspur,2013/2014,30,23
England,England Premier League,Tottenham Hotspur,2015/2016,35,15
France,France Ligue 1,Toulouse FC,2013/2014,23,26
France,France Ligue 1,Toulouse FC,2008/2009,26,8
France,France Ligue 1,Toulouse FC,2009/2010,19,16
France,France Ligue 1,Toulouse FC,2010/2011,19,13
France,France Ligue 1,Toulouse FC,2015/2016,29,21
France,France Ligue 1,Toulouse FC,2014/2015,28,29
France,France Ligue 1,Toulouse FC,2012/2013,30,26
France,France Ligue 1,Toulouse FC,2011/2012,20,11
Germany,Germany 1. Bundesliga,TSG 1899 Hoffenheim,2010/2011,28,21
Germany,Germany 1. Bundesliga,TSG 1899 Hoffenheim,2009/2010,26,20
Germany,Germany 1. Bundesliga,TSG 1899 Hoffenheim,2014/2015,31,26
Germany,Germany 1. Bundesliga,TSG 1899 Hoffenheim,2015/2016,22,25
Germany,Germany 1. Bundesliga,TSG 1899 Hoffenheim,2008/2009,30,18
Germany,Germany 1. Bundesliga,TSG 1899 Hoffenheim,2012/2013,21,30
Germany,Germany 1. Bundesliga,TSG 1899 Hoffenheim,2011/2012,21,17
Germany,Germany 1. Bundesliga,TSG 1899 Hoffenheim,2013/2014,43,31
Spain,Spain LIGA BBVA,UD Almería,2010/2011,23,35
Spain,Spain LIGA BBVA,UD Almería,2013/2014,26,31
Spain,Spain LIGA BBVA,UD Almería,2008/2009,27,20
Spain,Spain LIGA BBVA,UD Almería,2009/2010,25,23
Spain,Spain LIGA BBVA,UD Almería,2014/2015,20,28
Spain,Spain LIGA BBVA,UD Las Palmas,2015/2016,25,17
Italy,Italy Serie A,Udinese,2009/2010,38,25
Italy,Italy Serie A,Udinese,2011/2012,33,13
Italy,Italy Serie A,Udinese,2014/2015,26,29
Italy,Italy Serie A,Udinese,2008/2009,36,18
Italy,Italy Serie A,Udinese,2012/2013,31,16
Italy,Italy Serie A,Udinese,2015/2016,18,28
Italy,Italy Serie A,Udinese,2013/2014,27,24
Italy,Italy Serie A,Udinese,2010/2011,27,16
Portugal,Portugal Liga ZON Sagres,"União de Leiria, SAD",2010/2011,12,20
Portugal,Portugal Liga ZON Sagres,"União de Leiria, SAD",2009/2010,19,19
Portugal,Portugal Liga ZON Sagres,"União de Leiria, SAD",2011/2012,14,29
France,France Ligue 1,US Boulogne Cote D'Opale,2009/2010,19,31
Spain,Spain LIGA BBVA,Valencia CF,2012/2013,42,25
Spain,Spain LIGA BBVA,Valencia CF,2014/2015,42,10
Spain,Spain LIGA BBVA,Valencia CF,2011/2012,40,20
Spain,Spain LIGA BBVA,Valencia CF,2008/2009,47,26
Spain,Spain LIGA BBVA,Valencia CF,2009/2010,34,12
Spain,Spain LIGA BBVA,Valencia CF,2013/2014,35,24
Spain,Spain LIGA BBVA,Valencia CF,2015/2016,25,23
Spain,Spain LIGA BBVA,Valencia CF,2010/2011,34,21
France,France Ligue 1,Valenciennes FC,2008/2009,27,18
France,France Ligue 1,Valenciennes FC,2009/2010,23,21
France,France Ligue 1,Valenciennes FC,2012/2013,32,21
France,France Ligue 1,Valenciennes FC,2010/2011,28,17
France,France Ligue 1,Valenciennes FC,2011/2012,29,16
France,France Ligue 1,Valenciennes FC,2013/2014,23,31
Germany,Germany 1. Bundesliga,VfB Stuttgart,2008/2009,34,14
Germany,Germany 1. Bundesliga,VfB Stuttgart,2009/2010,28,21
Germany,Germany 1. Bundesliga,VfB Stuttgart,2013/2014,28,28
Germany,Germany 1. Bundesliga,VfB Stuttgart,2012/2013,20,28
Germany,Germany 1. Bundesliga,VfB Stuttgart,2014/2015,18,28
Germany,Germany 1. Bundesliga,VfB Stuttgart,2011/2012,36,17
Germany,Germany 1. Bundesliga,VfB Stuttgart,2010/2011,33,27
Germany,Germany 1. Bundesliga,VfB Stuttgart,2015/2016,22,32
Germany,Germany 1. Bundesliga,VfL Bochum,2008/2009,23,28
Germany,Germany 1. Bundesliga,VfL Bochum,2009/2010,18,35
Germany,Germany 1. Bundesliga,VfL Wolfsburg,2008/2009,51,13
Germany,Germany 1. Bundesliga,VfL Wolfsburg,2014/2015,38,13
Germany,Germany 1. Bundesliga,VfL Wolfsburg,2012/2013,21,30
Germany,Germany 1. Bundesliga,VfL Wolfsburg,2009/2010,39,39
Germany,Germany 1. Bundesliga,VfL Wolfsburg,2015/2016,32,17
Germany,Germany 1. Bundesliga,VfL Wolfsburg,2011/2012,29,22
Germany,Germany 1. Bundesliga,VfL Wolfsburg,2013/2014,37,22
Germany,Germany 1. Bundesliga,VfL Wolfsburg,2010/2011,27,26
Spain,Spain LIGA BBVA,Villarreal CF,2011/2012,26,20
Spain,Spain LIGA BBVA,Villarreal CF,2010/2011,33,14
Spain,Spain LIGA BBVA,Villarreal CF,2013/2014,36,21
Spain,Spain LIGA BBVA,Villarreal CF,2015/2016,26,12
Spain,Spain LIGA BBVA,Villarreal CF,2014/2015,29,17
Spain,Spain LIGA BBVA,Villarreal CF,2008/2009,33,25
Spain,Spain LIGA BBVA,Villarreal CF,2009/2010,35,18
Netherlands,Netherlands Eredivisie,Vitesse,2012/2013,34,18
Netherlands,Netherlands Eredivisie,Vitesse,2015/2016,30,18
Netherlands,Netherlands Eredivisie,Vitesse,2014/2015,36,18
Netherlands,Netherlands Eredivisie,Vitesse,2013/2014,32,19
Netherlands,Netherlands Eredivisie,Vitesse,2011/2012,30,19
Netherlands,Netherlands Eredivisie,Vitesse,2010/2011,23,22
Netherlands,Netherlands Eredivisie,Vitesse,2009/2010,22,28
Netherlands,Netherlands Eredivisie,Vitesse,2008/2009,27,19
Portugal,Portugal Liga ZON Sagres,Vitória Guimarães,2015/2016,23,19
Portugal,Portugal Liga ZON Sagres,Vitória Guimarães,2008/2009,14,16
Portugal,Portugal Liga ZON Sagres,Vitória Guimarães,2010/2011,16,10
Portugal,Portugal Liga ZON Sagres,Vitória Guimarães,2009/2010,21,15
Portugal,Portugal Liga ZON Sagres,Vitória Guimarães,2012/2013,18,22
Portugal,Portugal Liga ZON Sagres,Vitória Guimarães,2013/2014,16,18
Portugal,Portugal Liga ZON Sagres,Vitória Guimarães,2011/2012,20,15
Portugal,Portugal Liga ZON Sagres,Vitória Guimarães,2014/2015,28,7
Portugal,Portugal Liga ZON Sagres,Vitória Setúbal,2011/2012,15,18
Portugal,Portugal Liga ZON Sagres,Vitória Setúbal,2010/2011,18,22
Portugal,Portugal Liga ZON Sagres,Vitória Setúbal,2013/2014,26,18
Portugal,Portugal Liga ZON Sagres,Vitória Setúbal,2012/2013,18,25
Portugal,Portugal Liga ZON Sagres,Vitória Setúbal,2009/2010,13,22
Portugal,Portugal Liga ZON Sagres,Vitória Setúbal,2014/2015,17,21
Portugal,Portugal Liga ZON Sagres,Vitória Setúbal,2008/2009,12,24
Portugal,Portugal Liga ZON Sagres,Vitória Setúbal,2015/2016,16,26
Netherlands,Netherlands Eredivisie,VVV-Venlo,2012/2013,22,42
